208.295	505
208.67	436
209.045	414
209.419	417
209.794	430
210.169	415
210.544	423
210.919	431
211.295	415
211.67	407
212.045	407
212.421	397
212.796	413
213.172	415
213.547	399
213.923	413
214.299	413
214.675	411
215.051	422
215.427	424
215.803	412
216.179	417
216.555	409
216.932	415
217.308	419
217.684	419
218.061	407
218.438	419
218.814	430
219.191	415
219.568	422
219.945	428
220.322	409
220.699	431
221.076	428
221.453	428
221.83	428
222.208	428
222.585	421
222.962	423
223.34	421
223.717	419
224.095	412
224.473	433
224.851	424
225.229	415
225.607	417
225.985	406
226.363	412
226.741	421
227.119	415
227.497	408
227.876	411
228.254	428
228.633	421
229.011	410
229.39	428
229.769	424
230.148	420
230.527	427
230.905	416
231.284	414
231.664	426
232.043	417
232.422	421
232.801	427
233.181	414
233.56	424
233.94	416
234.319	421
234.699	410
235.079	413
235.458	434
235.838	405
236.218	411
236.598	415
236.978	396
237.358	423
237.738	419
238.119	415
238.499	418
238.88	423
239.26	420
239.641	407
240.021	413
240.402	415
240.783	407
241.163	414
241.544	415
241.925	412
242.306	423
242.687	414
243.069	417
243.45	420
243.831	408
244.212	411
244.594	421
244.975	415
245.357	415
245.739	429
246.12	418
246.502	424
246.884	404
247.266	410
247.648	416
248.03	422
248.412	426
248.794	426
249.176	434
249.559	415
249.941	431
250.323	411
250.706	419
251.089	415
251.471	427
251.854	421
252.237	427
252.62	411
253.002	418
253.385	418
253.769	406
254.152	420
254.535	412
254.918	427
255.301	427
255.685	415
256.068	419
256.452	425
256.835	414
257.219	420
257.603	406
257.986	417
258.37	424
258.754	410
259.138	418
259.522	417
259.906	423
260.29	423
260.675	410
261.059	423
261.443	404
261.828	425
262.212	425
262.597	412
262.981	420
263.366	418
263.751	421
264.136	401
264.521	425
264.906	424
265.291	420
265.676	398
266.061	415
266.446	425
266.831	412
267.217	425
267.602	414
267.987	415
268.373	415
268.759	425
269.144	424
269.53	415
269.916	420
270.302	421
270.688	421
271.074	421
271.46	419
271.846	420
272.232	415
272.618	422
273.004	421
273.391	417
273.777	421
274.164	412
274.55	401
274.937	419
275.324	424
275.71	420
276.097	421
276.484	419
276.871	420
277.258	415
277.645	414
278.032	419
278.419	418
278.807	413
279.194	411
279.581	418
279.969	421
280.356	410
280.744	419
281.131	426
281.519	409
281.907	402
282.295	404
282.682	414
283.07	428
283.458	413
283.846	414
284.235	425
284.623	415
285.011	419
285.399	425
285.788	419
286.176	425
286.565	424
286.953	415
287.342	422
287.731	428
288.119	427
288.508	409
288.897	412
289.286	410
289.675	413
290.064	411
290.453	410
290.821	433
291.21	405
291.599	417
291.989	419
292.378	402
292.768	410
293.157	413
293.547	422
293.936	425
294.326	424
294.716	415
295.106	421
295.496	423
295.886	420
296.276	412
296.666	424
297.056	412
297.446	420
297.836	412
298.227	417
298.617	412
299.008	418
299.398	410
299.789	418
300.179	413
300.57	413
300.961	424
301.352	415
301.742	407
302.133	422
302.524	410
302.915	403
303.307	416
303.698	418
304.089	431
304.48	415
304.872	412
305.263	413
305.655	414
306.046	415
306.438	413
306.829	413
307.221	416
307.613	418
308.005	420
308.397	405
308.789	405
309.181	409
309.573	413
309.965	412
310.357	392
310.749	394
311.142	404
311.534	406
311.926	406
312.319	411
312.711	410
313.104	415
313.497	411
313.889	417
314.282	398
314.675	419
315.068	408
315.461	402
315.854	411
316.247	425
316.64	412
317.033	426
317.405	403
317.798	409
318.192	414
318.585	414
318.979	415
319.372	413
319.766	424
320.16	419
320.553	416
320.947	420
321.341	411
321.735	411
322.129	414
322.523	426
322.917	414
323.311	407
323.705	402
324.099	407
324.494	417
324.888	421
325.282	418
325.677	414
326.071	407
326.466	416
326.861	418
327.255	415
327.65	418
328.045	426
328.44	418
328.835	417
329.23	403
329.625	419
330.02	415
330.415	421
330.81	415
331.206	416
331.601	401
331.996	430
332.37	421
332.766	418
333.161	408
333.557	411
333.953	413
334.348	424
334.744	410
335.14	409
335.536	407
335.932	413
336.328	419
336.724	414
337.12	408
337.516	415
337.913	418
338.309	413
338.705	415
339.102	415
339.498	412
339.895	409
340.291	417
340.688	410
341.085	415
341.481	411
341.878	413
342.275	415
342.672	411
343.069	407
343.466	427
343.842	404
344.239	421
344.636	408
345.033	413
345.431	418
345.828	407
346.225	415
346.623	412
347.02	418
347.418	422
347.816	421
348.213	404
348.611	415
349.009	404
349.407	417
349.805	412
350.203	413
350.601	420
350.999	425
351.397	415
351.795	406
352.193	415
352.57	409
352.969	414
353.367	412
353.766	416
354.164	413
354.563	414
354.961	407
355.36	404
355.759	430
356.158	402
356.557	409
